bathrooms,bedrooms,list_price,latitude,longitude,lot_sqft,sqft,year_from_now,APT_type,COND_type,COOP_type,Country Homes/Acreag_type,FARM_type,LAND_type,MULT_type,OTHER_type,RENT_type,RESI_type,Timeshare_type,actual rent
-0.368205276,-0.296535015,-0.23794634,1.576543227,0.404021177,-0.106808636,-0.228157575,-0.554157645,1,0,0,0,0,0,0,0,0,0,0,2300
0.294165717,0.495164426,-0.300023899,-0.716687339,0.790481883,-0.099183689,-0.092854183,-1.12408383,0,0,0,0,0,0,0,0,0,1,0,1545
-0.441802053,-0.296535015,-0.390064834,-0.523357014,-0.014025924,-0.106808636,-0.716820271,-0.554157645,0,0,0,0,0,0,0,0,0,1,0,1200
1.030133487,1.286863867,-0.297233256,-0.053379943,-0.134018027,-0.112412512,1.142997334,-0.74413304,0,0,0,0,0,0,0,0,0,1,0,2000
1.766101257,2.870262749,2.359629287,1.37179263,1.282816163,0.928636126,-0.236010004,4.195227225,0,0,0,0,0,0,0,0,0,1,0,19939
0.294165717,-0.296535015,-0.245976556,1.573739037,0.418450572,-0.106808636,-0.4848716,2.599433909,0,0,0,0,0,0,0,0,0,1,0,2200
-0.441802053,-0.296535015,-0.416504748,0.055238366,0.633250458,-0.106808636,-1.451324399,1.421586461,0,0,0,0,0,0,0,0,0,1,0,595
-1.177769823,-1.088234456,-0.249336718,1.564891664,0.425493985,-0.106808636,-1.451324399,-0.326187171,1,0,0,0,0,0,0,0,0,0,0,2100
-0.441802053,-0.296535015,-0.351280598,-1.225707502,0.883634544,-0.106808636,-1.004339979,-0.896113356,1,0,0,0,0,0,0,0,0,0,0,1600
-0.441802053,-0.296535015,-0.186689641,1.02123042,-1.637491143,-0.118053135,-0.254735027,-1.010098593,0,0,0,0,0,0,0,0,0,1,0,2195
-0.809785938,-1.088234456,-0.337042626,2.362090401,-1.703459617,-0.094806235,-0.813465551,0.585694724,0,0,0,0,0,0,0,0,0,1,0,975
-1.177769823,-1.088234456,-0.354128192,-1.225476733,0.874609028,-0.106808636,-0.832794607,-0.174206856,1,0,0,0,0,0,0,0,0,0,0,1500
0.367762494,0.495164426,-0.12575112,-0.509225643,-0.066351399,0.002168385,1.063264978,-0.630147803,0,0,0,0,0,0,0,0,0,1,0,3837
0.294165717,0.495164426,-0.297176304,0.19161893,0.616895022,-0.106808636,-1.451324399,-0.02222654,0,0,0,0,0,0,0,0,0,1,0,1600
1.766101257,1.286863867,-0.003874079,-0.995143515,0.877069541,-0.008681087,2.169853434,-0.136211777,0,0,0,0,0,0,0,0,0,1,0,5233
-0.441802053,-1.088234456,-0.083606723,-1.24397449,0.886586773,-0.106808636,-0.689034753,-0.630147803,1,0,0,0,0,0,0,0,0,0,0,3236
1.766101257,2.078563308,-0.186120122,0.205555784,0.621515932,-0.106808636,0.56010549,-0.820123198,0,0,0,0,0,0,0,0,0,1,0,2516
-1.177769823,-1.879933897,-0.352419636,1.571088137,0.421347499,-0.106808636,-1.013400474,0.35772425,1,0,0,0,0,0,0,0,0,0,0,1250
0.294165717,-0.296535015,-0.280648866,-0.835078185,0.795984614,-0.113510321,-0.11037114,-1.200073988,0,0,0,0,0,0,0,0,0,1,0,1395
0.294165717,1.286863867,-0.135432941,-0.962472671,0.747424599,-0.108811332,0.303391465,-0.668142882,0,0,0,0,0,0,0,0,0,1,0,2800
-0.441802053,-1.088234456,-0.382604137,1.374693947,1.337320737,-0.127299531,-0.236010004,0.053763618,0,0,0,0,0,0,0,0,0,1,0,2500
-0.441802053,-1.088234456,-0.331973908,-1.149363919,0.889722843,-0.106808636,-0.789908264,0.243739013,1,0,0,0,0,0,0,0,0,0,0,1550
-1.104173046,-0.296535015,-0.338466423,1.455427533,0.387653169,-0.106808636,-0.51507325,-0.782128119,1,0,0,0,0,0,0,0,0,0,0,1150
0.367762494,-0.296535015,-0.214601761,-0.544372118,-0.050138839,-0.138562404,-0.308493964,-0.820123198,0,0,0,0,0,0,0,0,0,1,0,2600
0.294165717,-1.088234456,-0.174729744,0.214679541,-1.466060376,0.588866675,-0.383394056,0.699679961,0,1,0,0,0,0,0,0,0,0,0,2900
-0.441802053,-0.296535015,-0.206053283,-0.450048754,-0.038850799,-0.106808636,0.017683856,-0.516162566,0,0,0,1,0,0,0,0,0,0,0,1800
-1.913737593,-0.296535015,-0.362670976,-0.562006789,-0.046950796,-0.121562448,-0.236010004,-0.326187171,0,0,0,0,0,1,0,0,0,0,0,1350
-1.177769823,-0.296535015,-0.360962419,-0.857246089,0.79115627,-0.101246099,-0.842459135,0.965645513,0,0,0,0,0,0,0,0,0,1,0,975
-0.441802053,-0.296535015,-0.315400908,-0.741465228,0.818035566,-0.126284403,-0.598429803,0.243739013,0,0,0,0,0,0,0,0,0,1,0,1450
